222-10_Parent_Identify	326	Response	24	3139010	3882	1
222-10_Parent_Identify	328	Response	22	3158049	4434	1
222-10_Parent_Identify	330	Response	20	3178049	6447	1
222-10_Parent_Identify	332	Response	20	3197008	7419	1
222-10_Parent_Identify	334	Response	24	3212128	2886	1
222-10_Parent_Identify	336	Response	24	3232847	4119	1
222-10_Parent_Identify	338	Response	18	3255087	6539	1
222-10_Parent_Identify	340	Response	20	3274766	5899	1
222-10_Parent_Identify	342	Response	20	3294606	5586	1
222-10_Parent_Identify	344	Response	20	3314285	5779	1
222-10_Parent_Identify	346	Response	20	3331485	4325	1
222-10_Parent_Identify	348	Response	20	3351564	5751	1
222-10_Parent_Identify	350	Response	20	3369804	3838	1
222-10_Parent_Identify	352	Response	18	3390443	6157	1
222-10_Parent_Identify	354	Response	24	3408122	3517	1
222-10_Parent_Identify	356	Response	24	3427162	4070	1
222-10_Parent_Identify	358	Response	18	3445961	3383	1
222-10_Parent_Identify	360	Response	20	3466361	4963	1
222-10_Parent_Identify	362	Response	20	3485081	5529	1
222-10_Parent_Identify	364	Response	20	3504760	6720	1
222-10_Parent_Identify	366	Response	20	3522280	5753	1
222-10_Parent_Identify	368	Response	18	3540119	4773	1
222-10_Parent_Identify	370	Response	24	3559639	4140	1
222-10_Parent_Identify	372	Response	20	3582038	6553	1
222-10_Parent_Identify	374	Response	18	3599638	4666	1
222-10_Parent_Identify	376	Response	18	3618757	3633	1
222-10_Parent_Identify	380	Response	20	3655876	3612	1
222-10_Parent_Identify	382	Response	20	3675795	4878	1
222-10_Parent_Identify	384	Response	20	3697075	6171	1
222-10_Parent_Identify	386	Response	20	3713955	4564	1
222-10_Parent_Identify	388	Response	18	3732034	4156	1
222-10_Parent_Identify	390	Response	20	3753713	6016	1
222-10_Parent_Identify	392	Response	20	3772433	4917	1
222-10_Parent_Identify	394	Response	24	3790832	3663	1
222-10_Parent_Identify	396	Response	24	3809952	3296	1
222-10_Parent_Identify	398	Response	22	3830431	4289	1
222-10_Parent_Identify	400	Response	18	3849631	3836	1
222-10_Parent_Identify	402	Response	24	3869070	5122	1
222-10_Parent_Identify	404	Response	20	3886830	4394	1
222-10_Parent_Identify	406	Response	20	3908429	6674	1
222-10_Parent_Identify	408	Response	22	3925069	3827	1
222-10_Parent_Identify	410	Response	18	3944428	4033	1
222-10_Parent_Identify	412	Response	22	3962428	3046	1
222-10_Parent_Identify	414	Response	24	3984107	5406	1
222-10_Parent_Identify	416	Response	20	4002747	4892	1
222-10_Parent_Identify	418	Response	22	4022186	6178	1
222-10_Parent_Identify	420	Response	22	4041386	5724	1
222-10_Parent_Identify	422	Response	20	4059625	5144	1
222-10_Parent_Identify	424	Response	24	4077864	4896	1
222-10_Parent_Identify	426	Response	18	4095864	4575	1
222-10_Parent_Identify	428	Response	20	4114424	4981	1
222-10_Parent_Identify	430	Response	22	4133943	5514	1
222-10_Parent_Identify	432	Response	22	4153302	6386	1
222-10_Parent_Identify	432	Response	20	4153305	6388	1
222-10_Parent_Identify	434	Response	18	4169382	2980	1
222-10_Parent_Identify	438	Response	24	4209861	3320	1
222-10_Parent_Identify	442	Response	24	4248660	3646	1
222-10_Parent_Identify	444	Response	20	4268019	4518	1
222-10_Parent_Identify	446	Response	24	4287459	3639	1
222-10_Parent_Identify	448	Response	24	4307618	3813	1
222-10_Parent_Identify	450	Response	18	4328258	4133	1
222-10_Parent_Identify	452	Response	24	4346177	2400	1
222-10_Parent_Identify	454	Response	20	4367136	5038	1
222-10_Parent_Identify	456	Response	20	4386496	4412	1
222-10_Parent_Identify	458	Response	24	4405616	4712	1
222-10_Parent_Identify	460	Response	20	4424895	4505	1
222-10_Parent_Identify	462	Response	22	4443135	4757	1
222-10_Parent_Identify	464	Response	20	4462014	4983	1
222-10_Parent_Identify	466	Response	18	4480413	4895	1
222-10_Parent_Identify	468	Response	20	4498253	4748	1
222-10_Parent_Identify	470	Response	20	4518493	6000	1
222-10_Parent_Identify	472	Response	24	4536172	4860	1
222-10_Parent_Identify	474	Response	18	4554652	3853	1
222-10_Parent_Identify	476	Response	18	4574091	4306	1
222-10_Parent_Identify	478	Response	20	4595051	5113	1
222-10_Parent_Identify	480	Response	20	4614250	4993	1
222-10_Parent_Identify	482	Response	24	4636010	6933	1
222-10_Parent_Identify	484	Response	20	4653849	6118	1
222-10_Parent_Identify	486	Response	18	4670889	4671	1
222-10_Parent_Identify	490	Response	20	4708487	4963	1
222-10_Parent_Identify	494	Response	18	4748326	4330	1
222-10_Parent_Identify	496	Response	24	4767766	4950	1
222-10_Parent_Identify	498	Response	18	4786325	4356	1
222-10_Parent_Identify	500	Response	22	4805525	3902	1
222-10_Parent_Identify	502	Response	22	4826324	6382	1
222-10_Parent_Identify	504	Response	18	4842644	3714	1
222-10_Parent_Identify	506	Response	20	4861523	4107	1
222-10_Parent_Identify	510	Response	18	4896482	1925	1
